1
55
         ,     CH01,     CH02,     CH03,     CH04,     CH05,     CH06,     CH07,     CH08,     CH09,     CH10,     CH11,     CH12,     CH13,     CH14,     CH15,     CH16,
        2,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
        3,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
        4,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
        5,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
        6,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
        7,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
        8,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
        9,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
       10,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
       11,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
       12,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
       13,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
       14,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
       15,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
       16,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
       17,    0.001,    0.001,   -0.003,    0.000,   -0.001,    0.001,    0.000,   -0.001,   -0.002,   -0.001,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,
