Model,5G200,
Point_Num,7,
NAME,최대외경(138),하내경(95),중내경(42.8),단차(8.5),상내경(44),상부외경(61.18),상면평행도(133.3),Time,MARKING,#10,#20,
UNIT,3,3,3,3,3,3,3,
UCL,40.090,95.035,107.998,8.700,44.050,61.230,133.600,
LCL,40.056,95.000,107.976,8.300,43.970,61.180,133.000,
0001,40.077,110.540,107.599,-1.195,52.856,-0.006,534.898,2024-10-20/11:25:57,JXJ20D,101,201,
0002,40.076,328.596,108.960,-0.535,54.463,-16.621,16.895,2024-10-20/11:26:09,JXJ20D,101,201,
0003,87.350,231.782,716.302,130.445,320.047,117.885,604.895,2024-10-20/11:29:17,JXJ20D,101,201,
0004,120.741,188.827,191.513,19.006,872.420,14.725,70.414,2024-10-20/11:29:19,JXJ20D,101,201,
0005,79.166,141.385,135.920,0.297,53.312,-18.997,51.464,2024-10-20/11:29:26,JXJ20D,101,201,
0006,40.076,69.859,-145.561,-150.672,-52.939,-359.476,184.432,2024-10-20/11:37:25,JXJ20D,101,201,
0007,38.042,68.768,-152.257,-151.475,-53.764,-360.644,183.432,2024-10-20/11:43:46,JXJ20D,101,201,
0008,40.076,109.976,107.986,0.000,55.052,0.000,7.414,2024-10-20/11:44:29,JXJ20D,101,201,
0009,40.076,109.976,107.986,0.000,55.052,0.000,7.414,2024-10-20/11:44:32,JXJ20D,101,201,
0010,40.076,109.976,107.986,0.000,55.052,0.000,7.414,2024-10-20/11:44:45,JXJ20D,101,201,
0011,42.110,113.615,130.788,3.607,71.628,239.884,573.414,2024-10-20/11:50:54,JXJ20D,101,201,
0012,42.110,129.245,127.565,6.287,74.836,31.963,82.414,2024-10-20/11:51:25,JXJ20D,101,201,
0013,42.111,115.581,135.329,1.479,57.047,4.968,86.969,2024-10-20/11:51:27,JXJ20D,101,201,
0014,41.603,121.213,125.997,0.274,55.397,238.593,962.458,2024-10-20/11:51:45,JXJ20D,101,201,
0014,2980.671,2610.834,2332.034,1156.572,1200.490,-1.831,8.090,2024-10-20/11:57:26,JXJ20D,101,201,
0015,2980.671,2610.834,2332.034,1156.572,1200.490,-1.831,8.090,2024-10-20/11:57:29,JXJ20D,101,201,
0017,38.041,71.655,44.933,-2.066,53.483,-1.831,8.090,2024-10-20/11:59:23,JXJ20D,101,201,
0018,40.076,109.976,107.986,0.000,55.052,0.000,7.414,2024-10-20/12:01:15,JXJ20D,101,201,
0019,40.076,109.976,107.986,0.000,55.052,0.000,7.414,2024-10-20/12:06:03,JXJ20D,101,201,
0019,40.076,110.737,107.986,0.000,56.353,1.809,15.414,2024-10-20/12:12:04,JXJ20D,101,201,
0020,40.076,110.221,110.756,0.852,58.789,3.098,16.414,2024-10-20/12:12:52,JXJ20D,101,201,
0021,41.634,124.781,114.456,1.315,59.899,15.989,87.818,2024-10-20/12:19:34,JXJ20D,101,201,
0022,40.074,95.380,96.700,-0.728,46.417,-24.894,7.733,2024-10-20/13:09:15,JXJ20D,101,201,
0023,40.742,110.176,108.173,0.000,55.073,-0.202,8.676,2024-10-20/14:28:34,JXJ20D,101,201,
0024,42.110,109.983,107.986,0.000,55.052,0.000,7.414,2024-10-20/14:33:50,JXJ20D,101,201,
0025,140.400,97.200,44.903,9.600,46.600,63.680,136.300,2024-10-20/16:28:30,JXJ20D,101,201,
