,,PLC -> PC,,,,,,PLC <- PC,,,,,
,,,LS,MEL,COMMENT,,,,LS,MEL,COMMENT,,
M000 PLC통신상태전송,M200 PLC통신상태전송,M,000,000,PLC통신상태전송,1SEC ON/OFF,0,M,200,320,PLC통신상태전송,PLC통신상태,
M001 자동화면전환요구전송,M201 자동화면신호,M,001,001,자동화면전환요구전송,SCREEN CHANGE,1,M,201,321,자동화면신호,자동화면신호,
M002 수동화면전환요구전송,M202 수동화면신호,M,002,002,수동화면전환요구전송,SCREEN CHANGE,2,M,202,322,수동화면신호,수동화면신호,
M003 영점화면전환요구전송,M203 영점화면신호,M,003,003,영점화면전환요구전송,SCREEN CHANGE,3,M,203,323,영점화면신호,영점화면신호,
M004 ,M204 ,M,004,004,,,4,M,204,324,,,
M005 자동운전상태,M205 OP SELECT AUTO,M,005,005,자동운전상태,OFF:0/ON:1,5,M,205,325,OP SELECT AUTO,자동운전신호,
M006 수동운전상태,M206 OP SELECT MANU,M,006,006,수동운전상태,OFF:0/ON:1,6,M,206,326,OP SELECT MANU,수동운전신호,
M007 원위치운전상태,M207 OP BUTTON ORIGIN,M,007,007,원위치운전상태,OFF:0/ON:1,7,M,207,327,OP BUTTON ORIGIN,원위치신호,
M008 부저정지상태,M208 OP BUTTON BUZZER-STOP,M,008,008,부저정지상태,OFF:0/ON:1,8,M,208,328,OP BUTTON BUZZER-STOP,부저정지신호,
M009 이상리셋상태,M209 OP BUTTON RESET,M,009,009,이상리셋상태,OFF:0/ON:1,9,M,209,329,OP BUTTON RESET,이상리셋신호,
M00A 비상정지상태,M20A OP BUTTON E-STOP,M,00A,010,비상정지상태,OFF:0/ON:1,10,M,20A,330,OP BUTTON E-STOP,비상정지신호,
M00B 배출운전상태,M20B OP BUTTON WORK-OUT,M,00B,011,배출운전상태,OFF:0/ON:1,11,M,20B,331,OP BUTTON WORK-OUT,배출운전신호,
M00C ,M20C AMP COMM ERR,M,00C,012,,,12,M,20C,332,AMP COMM ERR,측정 AMP통신에러,
M00D ,M20D MARK COMM ERR,M,00D,013,,,13,M,20D,333,MARK COMM ERR,마킹 CONTROLLER통신에러,
M00E ,M20E ,M,00E,014,,,14,M,20E,334,,,
M00F 장비등상태,M20F ,M,00F,015,장비등상태,,15,M,20F,335,,장비등신호,
M010 측정 요구 신호 1,M210 측정사이클 요구 신호1,M,010,016,측정 요구 신호 1,,16,M,210,336,측정사이클 요구 신호1,,
M011 ,M211 ,M,011,017,,,17,M,211,337,,,
M012 ,M212 ,M,012,018,,,18,M,212,338,,,
M013 ,M213 ,M,013,019,,,19,M,213,339,,,
M014 영점 요구 신호 1,M214 재측정 요구 신호 1,M,014,020,영점 요구 신호 1,,20,M,214,340,재측정 요구 신호 1,,
M015 ,M215 ,M,015,021,,,21,M,215,341,,,
M016 ,M216 ,M,016,022,,,22,M,216,342,,,
M017 ,M217 ,M,017,023,,,23,M,217,343,,,
M018 측정 초기화 신호 1,M218 SIG 1 JUDGMENT ,M,018,024,측정 초기화 신호 1,,24,M,218,344,SIG 1 JUDGMENT ,측정 판정 OK,
M019 ,M219 SIG 1 JUDGMENT ,M,019,025,,,25,M,219,345,SIG 1 JUDGMENT ,측정 판정 NG,
M01A ,M21A ,M,01A,026,,,26,M,21A,346,,,
M01B ,M21B ,M,01B,027,,,27,M,21B,347,,,
M01C ,M21C ,M,01C,028,,,28,M,21C,348,,,
M01D ,M21D ,M,01D,029,,,29,M,21D,349,,,
M01E MODEL변경요구신호,M21E ,M,01E,030,MODEL변경요구신호,,30,M,21E,350,,,
M01F ,M21F ,M,01F,031,,,31,M,21F,351,,,
M020 ,M220 SIG 1 FINISH,M,020,032,,,32,M,220,352,SIG 1 FINISH,측정/영점완료신호,
M021 ,M221 ,M,021,033,,,33,M,221,353,,,
M022 ,M222 ,M,022,034,,,34,M,222,354,,,
M023 ,M223 ,M,023,035,,,35,M,223,355,,,
M024 DATA SHIFT,M224 DATA SHIFT FB,M,024,036,DATA SHIFT,,36,M,224,356,DATA SHIFT FB,미사용,
M025 마킹 시작요구신호,M225 TEXT REQUEST FOR MARKING FB,M,025,037,마킹 시작요구신호,마킹 시작,37,M,225,357,TEXT REQUEST FOR MARKING FB,마킹 완료신호,
M026 측정 1CYCLE진행중,M226 AUTO MASTERING,M,026,038,측정 1CYCLE진행중,"측정,영점반자동",38,M,226,358,AUTO MASTERING,자동 마스터링신호,
M027 마킹 1CYCLE진행중,M227 CONTINUOUS NG,M,027,039,마킹 1CYCLE진행중,마킹반자동,39,M,227,359,CONTINUOUS NG,측정 연속NG신호,
M028 #10 MC 1,M228 BYPASS 1,M,028,040,#10 MC 1,,40,M,228,360,BYPASS 1,미사용,
M029 #10 MC 2,M229 BYPASS 2,M,029,041,#10 MC 2,,41,M,229,361,BYPASS 2,측정 바이패스,
M02A #10 MC 3,M22A BYPASS 3,M,02A,042,#10 MC 3,,42,M,22A,362,BYPASS 3,마킹 바이패스,
M02B #10 MC 4,M22B BYPASS 4,M,02B,043,#10 MC 4,,43,M,22B,363,BYPASS 4,,
M02C #20 MC 1,M22C BYPASS 5,M,02C,044,#20 MC 1,,44,M,22C,364,BYPASS 5,,
M02D #20 MC 2,M22D BYPASS 6,M,02D,045,#20 MC 2,,45,M,22D,365,BYPASS 6,,
M02E #20 MC 3,M22E BYPASS 7,M,02E,046,#20 MC 3,,46,M,22E,366,BYPASS 7,,
M02F #20 MC 4,M22F BYPASS 8,M,02F,047,#20 MC 4,,47,M,22F,367,BYPASS 8,,
M030 MODEL BIT 2^0,M230 MODEL BIT 2^0,M,030,048,MODEL BIT 2^0,모델정보리턴,48,M,230,368,MODEL BIT 2^0,MODEL BIT 2^0,
M031 MODEL BIT 2^1,M231 MODEL BIT 2^1,M,031,049,MODEL BIT 2^1,,49,M,231,369,MODEL BIT 2^1,MODEL BIT 2^1,
M032 MODEL BIT 2^2,M232 MODEL BIT 2^2,M,032,050,MODEL BIT 2^2,,50,M,232,370,MODEL BIT 2^2,MODEL BIT 2^2,
M033 MODEL BIT 2^3,M233 MODEL BIT 2^3,M,033,051,MODEL BIT 2^3,,51,M,233,371,MODEL BIT 2^3,MODEL BIT 2^3,
M034 MODEL BIT 2^4,M234 MODEL BIT 2^4,M,034,052,MODEL BIT 2^4,,52,M,234,372,MODEL BIT 2^4,MODEL BIT 2^4,
M035 MODEL BIT 2^5,M235 MODEL BIT 2^5,M,035,053,MODEL BIT 2^5,,53,M,235,373,MODEL BIT 2^5,MODEL BIT 2^5,
M036 MODEL BIT 2^6,M236 MODEL BIT 2^6,M,036,054,MODEL BIT 2^6,,54,M,236,374,MODEL BIT 2^6,MODEL BIT 2^6,
M037 MODEL BIT 2^7,M237 MODEL BIT 2^7,M,037,055,MODEL BIT 2^7,,55,M,237,375,MODEL BIT 2^7,MODEL BIT 2^7,
M038 ,M238 MARKING CYCLE,M,038,056,,,56,M,238,376,MARKING CYCLE,마킹 반자동1CYCLE신호,
M039 ,M239 ,M,039,057,,,57,M,239,377,,,
M03A ,M23A ,M,03A,058,,,58,M,23A,378,,,
M03B ,M23B ,M,03B,059,,,59,M,23B,379,,,
M03C ,M23C ,M,03C,060,,,60,M,23C,380,,,
M03D ,M23D ,M,03D,061,,,61,M,23D,381,,,
M03E ,M23E ,M,03E,062,,,62,M,23E,382,,,
M03F ,M23F ,M,03F,063,,,63,M,23F,383,,,
M040 측정리프트_상승/하강,M240 측정리프트_상승/하강,M,040,064,MANU-SOL 1,측정리프트_상승/하강,64,M,240,384,MANU-SOL 1,측정리프트_상승/하강,
M041 측정부_후진/전진,M241 측정부_후진/전진,M,041,065,MANU-SOL 2,측정부_후진/전진,65,M,241,385,MANU-SOL 2,측정부_후진/전진,
M042 측정상하_상승/하강,M242 측정상하_상승/하강,M,042,066,MANU-SOL 3,측정상하_상승/하강,66,M,242,386,MANU-SOL 3,측정상하_상승/하강,
M043 PROBE #1 초기/동작,M243 PROBE 내경 초기/동작,M,043,067,MANU-SOL 4,PROBE #1 초기/동작,67,M,243,387,MANU-SOL 4,PROBE 내경 초기/동작,
M044 AIR BLOW #1 초기/동작,M244 PROBE 외경 초기/동작,M,044,068,MANU-SOL 5,AIR BLOW #1 초기/동작,68,M,244,388,MANU-SOL 5,PROBE 외경 초기/동작,
M045 ,M245 AIR BLOW  초기/동작,M,045,069,MANU-SOL 6,,69,M,245,389,MANU-SOL 6,AIR BLOW  초기/동작,
M046 ,M246 NON_SELECT:0/SELECT:1,M,046,070,MANU-SOL 7,,70,M,246,390,MANU-SOL 7,NON_SELECT:0/SELECT:1,
M047 ,M247 NON_SELECT:0/SELECT:1,M,047,071,MANU-SOL 8,,71,M,247,391,MANU-SOL 8,NON_SELECT:0/SELECT:1,
M048 ,M248 NON_SELECT:0/SELECT:1,M,048,072,MANU-SOL 9,,72,M,248,392,MANU-SOL 9,NON_SELECT:0/SELECT:1,
M049 ,M249 NON_SELECT:0/SELECT:1,M,049,073,MANU-SOL 10,,73,M,249,393,MANU-SOL 10,NON_SELECT:0/SELECT:1,
M04A ,M24A NON_SELECT:0/SELECT:1,M,04A,074,MANU-SOL 11,,74,M,24A,394,MANU-SOL 11,NON_SELECT:0/SELECT:1,
M04B ,M24B NON_SELECT:0/SELECT:1,M,04B,075,MANU-SOL 12,,75,M,24B,395,MANU-SOL 12,NON_SELECT:0/SELECT:1,
M04C ,M24C NON_SELECT:0/SELECT:1,M,04C,076,MANU-SOL 13,,76,M,24C,396,MANU-SOL 13,NON_SELECT:0/SELECT:1,
M04D ,M24D NON_SELECT:0/SELECT:1,M,04D,077,MANU-SOL 14,,77,M,24D,397,MANU-SOL 14,NON_SELECT:0/SELECT:1,
M04E ,M24E NON_SELECT:0/SELECT:1,M,04E,078,MANU-SOL 15,,78,M,24E,398,MANU-SOL 15,NON_SELECT:0/SELECT:1,
M04F ,M24F NON_SELECT:0/SELECT:1,M,04F,079,MANU-SOL 16,,79,M,24F,399,MANU-SOL 16,NON_SELECT:0/SELECT:1,
