,,PLC -> PC,,,,,,PLC <- PC,,,,
,,,LS,MEL,COMMENT,,,,LS,MEL,COMMENT,
M000 PLC COMMUNICATION STATUS,M200 PLC COMMUNICATION STATUS,M,000,000,PLC COMMUNICATION STATUS,1SEC ON/OFF,,M,200,320,PLC COMMUNICATION STATUS,1 TIME READ/WRITE
M001 AUTO-MEAS. MODE,M201 AUTO-MEAS. SCREEN,M,001,001,AUTO-MEAS. MODE,SCREEN CHANGE,,M,201,321,AUTO-MEAS. SCREEN,
M002 MANU-MEAS. MODE,M202 MANU-MEAS. SCREEN,M,002,002,MANU-MEAS. MODE,SCREEN CHANGE,,M,202,322,MANU-MEAS. SCREEN,
M003 ZEROSET MODE,M203 ZEROSET SCREEN,M,003,003,ZEROSET MODE,SCREEN CHANGE,,M,203,323,ZEROSET SCREEN,
M004 ,M204 ,M,004,004,,,,M,204,324,,
M005 OP SELECT AUTO,M205 OP SELECT AUTO,M,005,005,OP SELECT AUTO,OFF:0/ON:1,,M,205,325,OP SELECT AUTO,X
M006 OP SELECT MANU,M206 OP SELECT MANU,M,006,006,OP SELECT MANU,OFF:0/ON:1,,M,206,326,OP SELECT MANU,X
M007 OP BUTTON ORIGIN,M207 OP BUTTON ORIGIN,M,007,007,OP BUTTON ORIGIN,OFF:0/ON:1,,M,207,327,OP BUTTON ORIGIN,O
M008 OP BUTTON BUZZER-STOP,M208 OP BUTTON BUZZER-STOP,M,008,008,OP BUTTON BUZZER-STOP,OFF:0/ON:1,,M,208,328,OP BUTTON BUZZER-STOP,O
M009 OP BUTTON RESET,M209 OP BUTTON RESET,M,009,009,OP BUTTON RESET,OFF:0/ON:1,,M,209,329,OP BUTTON RESET,O
M00A OP BUTTON E-STOP,M20A OP BUTTON E-STOP,M,00A,010,OP BUTTON E-STOP,OFF:0/ON:1,,M,20A,330,OP BUTTON E-STOP,O
M00B OP BUTTON WORK-OUT,M20B OP BUTTON WORK-OUT,M,00B,011,OP BUTTON WORK-OUT,OFF:0/ON:1,,M,20B,331,OP BUTTON WORK-OUT,X
M00C ,M20C AMP COMM ERR,M,00C,012,,,,M,20C,332,AMP COMM ERR,O
M00D ,M20D MARK COMM ERR,M,00D,013,,,,M,20D,333,MARK COMM ERR,O
M00E ,M20E ,M,00E,014,,,,M,20E,334,,
M00F ,M20F ,M,00F,015,,,,M,20F,335,,
M010 REQUEST SIG 1,M210 REQUEST SIG 1 or CYCLE 1,M,010,016,REQUEST SIG 1,,,M,210,336,REQUEST SIG 1 or CYCLE 1,MEAS
M011 REQUEST SIG 2,M211 REQUEST SIG 2 or CYCLE 2,M,011,017,REQUEST SIG 2,,,M,211,337,REQUEST SIG 2 or CYCLE 2,
M012 REQUEST SIG 3,M212 REQUEST SIG 3 or CYCLE 3,M,012,018,REQUEST SIG 3,,,M,212,338,REQUEST SIG 3 or CYCLE 3,
M013 REQUEST SIG 4,M213 REQUEST SIG 4 or CYCLE 4,M,013,019,REQUEST SIG 4,,,M,213,339,REQUEST SIG 4 or CYCLE 4,
M014 INITIALIZATION SIG 1,M214 RE-MEAS SIG 1,M,014,020,INITIALIZATION SIG 1,,,M,214,340,RE-MEAS SIG 1,NO JUDGMENT SIG
M015 INITIALIZATION SIG 2,M215 RE-MEAS SIG 2,M,015,021,INITIALIZATION SIG 2,,,M,215,341,RE-MEAS SIG 2,NO JUDGMENT SIG
M016 INITIALIZATION SIG 3,M216 RE-MEAS SIG 3,M,016,022,INITIALIZATION SIG 3,,,M,216,342,RE-MEAS SIG 3,NO JUDGMENT SIG
M017 INITIALIZATION SIG 4,M217 RE-MEAS SIG 4,M,017,023,INITIALIZATION SIG 4,,,M,217,343,RE-MEAS SIG 4,NO JUDGMENT SIG
M018 ,M218 SIG 1 JUDGMENT ,M,018,024,,,,M,218,344,SIG 1 JUDGMENT ,OK
M019 ,M219 SIG 1 JUDGMENT ,M,019,025,,,,M,219,345,SIG 1 JUDGMENT ,NG
M01A ,M21A SIG 2 JUDGMENT,M,01A,026,,,,M,21A,346,SIG 2 JUDGMENT,OK
M01B ,M21B SIG 2 JUDGMENT,M,01B,027,,,,M,21B,347,SIG 2 JUDGMENT,NG
M01C ,M21C SIG 3 JUDGMENT,M,01C,028,,,,M,21C,348,SIG 3 JUDGMENT,OK
